Date,Open,High,Low,Close,Volume,Brand_Name,Ticker,Industry_Tag,Country,Dividends,Stock Splits,Capital Gains
2025-07-03 00:00:00-04:00,6.630000114440920,6.739999771118160,6.614999771118160,6.639999866485600,4209664.0,peloton,PTON,fitness,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,106.75,108.37000274658200,106.3301010131840,107.33999633789100,560190.0,crocs,CROX,footwear,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,122.62999725341800,123.0500030517580,121.5500030517580,121.93000030517600,36600.0,adidas,ADDYY,apparel,germany,0.0,0.0,
2025-07-03 00:00:00-04:00,221.7050018310550,224.00999450683600,221.3600006103520,223.41000366210900,29295154.0,amazon,AMZN,e-commerce,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,212.1450042724610,214.6499938964840,211.8101043701170,213.5500030517580,34697317.0,apple,AAPL,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,76.26499938964840,77.02999877929690,75.58000183105470,76.38999938964840,11545304.0,nike,NKE,apparel,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,105.9499969482420,105.96990203857400,104.05500030517600,104.05999755859400,3535290.0,target,TGT,retail,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,178.69500732421900,179.6699981689450,177.05999755859400,179.52999877929700,21563145.0,google,GOOGL,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,713.0,725.5499877929690,704.5499877929690,725.0499877929690,1071771.0,spotify,SPOT,music,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,77.5999984741211,79.82499694824220,77.41000366210940,78.58000183105470,2882442.0,zoom video communications,ZM,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,123.06500244140600,124.23999786377000,122.9000015258790,124.0,4191063.0,the walt disney company,DIS,entertainment,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,102.41000366210900,104.31999969482400,102.31999969482400,103.58999633789100,3201169.0,roblox,RBLX,gaming,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,50.5,51.38980102539060,50.34999847412110,50.86000061035160,6123398.0,delta air lines,DAL,aviation,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,982.4000244140620,987.6699829101560,977.3250122070310,987.02001953125,1090138.0,costco,COST,retail,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,34.0,34.23500061035160,33.86000061035160,34.08000183105470,3722322.0,southwest airlines,LUV,aviation,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,10.300000190734900,10.385000228881800,10.164999961853000,10.279999732971200,3180547.0,american eagle outfitters,AEO,apparel,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,317.95001220703100,318.45001220703100,312.760009765625,315.3500061035160,58042302.0,tesla,TSLA,automotive,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,94.1999969482422,94.62999725341800,93.76000213623050,94.44000244140620,3541607.0,starbucks,SBUX,food & beverage,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,158.35000610351600,160.97999572753900,157.77000427246100,159.33999633789100,142313659.0,nvidia,NVDA,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,269.70001220703100,274.7300109863280,269.31500244140600,272.1499938964840,5031804.0,salesforce / slack,CRM,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,30.100000381469700,30.325000762939500,30.096399307251000,30.280000686645500,553085.0,honda,HMC,automotive,japan,0.0,0.0,
2025-07-03 00:00:00-04:00,92.8000030517578,93.12000274658210,91.90499877929690,92.77999877929690,3300939.0,colgate palmolive,CL,consumer goods,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,177.22000122070300,177.5500030517580,175.0189971923830,176.47000122070300,733761.0,hershey company,HSY,food & beverage,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,56.970001220703100,57.25,56.720001220703100,57.06999969482420,10384051.0,chipotle,CMG,food,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,35.88999938964840,36.09000015258790,35.68000030517580,35.68000030517580,4177615.0,pinterest,PINS,social media,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,92.44000244140620,93.08000183105470,92.29000091552730,92.69000244140620,216072.0,logitech,LOGI,technology,switzerland,0.0,0.0,
2025-07-03 00:00:00-04:00,115.05500030517600,117.45999908447300,114.97000122070300,116.5199966430660,3734741.0,shopify,SHOP,e-commerce,canada,0.0,0.0,
2025-07-03 00:00:00-04:00,139.11000061035200,139.5,137.32000732421900,137.91000366210900,28331975.0,amd,AMD,technology,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,325.3299865722660,329.1400146484380,324.17999267578100,328.1300048828130,1541800.0,american express,AXP,finance,usa,0.82,0.0,
2025-07-03 00:00:00-04:00,350.22100830078100,357.8699035644530,348.5,355.79998779296900,6704285.0,coinbase,COIN,cryptocurrency,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,560.780029296875,569.6599731445310,560.739990234375,569.239990234375,1528700.0,mastercard,MA,finance,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,294.6700134277340,294.8299865722660,292.6050109863280,294.0799865722660,1668686.0,mcdonald's,MCD,food,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,325.32501220703100,329.1199951171880,324.17999267578100,328.1300048828130,1541782.0,american express,AXP,finance,usa,0.0,0.0,
2025-07-03 00:00:00-04:00,378.0,383.1900024414060,377.7999877929690,379.30999755859400,2863680.0,adobe,ADBE,technology,usa,0.0,0.0,
